Año,Mes,Día,HR,CEL
2030,1,23,21,10922.50974
2030,1,23,22,10290.94044
2030,1,23,23,9356.295215
2030,1,23,24,8245.624125
2030,1,24,1,7200.005944
2030,1,24,2,6636.424455
2030,1,24,3,6443.451618
2030,1,24,4,6357.884193
2030,1,24,5,6411.674931
2030,1,24,6,6906.046595
2030,1,24,7,7898.676774
2030,1,24,8,8560.412819
2030,1,24,9,8778.701665
2030,1,24,10,9148.107705
2030,1,24,11,9310.123003
2030,1,24,12,9390.865063
2030,1,24,13,9340.87762
2030,1,24,14,9221.314795
2030,1,24,15,9073.771116
2030,1,24,16,9215.522566
2030,1,24,17,9189.356074
2030,1,24,18,9195.664561
2030,1,24,19,9751.69765
2030,1,24,20,10667.46964
2030,1,24,21,10447.43805
2030,1,24,22,9965.137258
2030,1,24,23,9174.691977
2030,1,24,24,8157.435127
2030,1,25,1,7343.93582
2030,1,25,2,6768.41476
2030,1,25,3,6404.414502
2030,1,25,4,6305.616862
2030,1,25,5,6282.109245
2030,1,25,6,6413.219227
2030,1,25,7,6919.11865
2030,1,25,8,7213.728543
2030,1,25,9,7914.231639
2030,1,25,10,8263.257448
2030,1,25,11,8352.555057
2030,1,25,12,8550.272688
2030,1,25,13,8576.3034
2030,1,25,14,8467.71179
2030,1,25,15,8185.881506
2030,1,25,16,8011.517809
2030,1,25,17,8102.567112
2030,1,25,18,8238.327886
2030,1,25,19,8964.51255
2030,1,25,20,9625.184746
2030,1,25,21,9542.667119
2030,1,25,22,9103.799094
2030,1,25,23,8557.215305
2030,1,25,24,7735.90947
2030,1,26,1,6821.948862
2030,1,26,2,6237.621585
2030,1,26,3,5858.990054
2030,1,26,4,5718.617281
2030,1,26,5,5690.78862
2030,1,26,6,5711.28374
2030,1,26,7,5815.484178
2030,1,26,8,5907.52571
2030,1,26,9,6174.500911
2030,1,26,10,6634.886127
2030,1,26,11,6955.486447
2030,1,26,12,7203.506348
2030,1,26,13,7203.646603
2030,1,26,14,7163.274081
2030,1,26,15,7124.962112
2030,1,26,16,7080.866867
2030,1,26,17,7160.907652
2030,1,26,18,7453.362991
2030,1,26,19,8396.211633
2030,1,26,20,9476.4116
2030,1,26,21,9547.11499
2030,1,26,22,9045.570929
2030,1,26,23,8237.053655
2030,1,26,24,7194.03019
2030,1,27,1,6217.811326
2030,1,27,2,5734.810754
2030,1,27,3,5561.033441
2030,1,27,4,5508.524394
2030,1,27,5,5634.333039
2030,1,27,6,6252.633335
2030,1,27,7,7370.969206
2030,1,27,8,7982.231392
2030,1,27,9,8434.263981
2030,1,27,10,8777.41699
2030,1,27,11,9106.841431
2030,1,27,12,9259.620795
2030,1,27,13,9241.448833
2030,1,27,14,9118.567636
2030,1,27,15,9143.00183
2030,1,27,16,9240.948988
2030,1,27,17,9352.802271
2030,1,27,18,9499.150798
2030,1,27,19,10088.93459
2030,1,27,20,10984.77695
2030,1,27,21,10849.89501
2030,1,27,22,10256.6123
2030,1,27,23,9360.99823
2030,1,27,24,8025.629839
2030,1,28,1,6956.514485
2030,1,28,2,6556.71491
2030,1,28,3,6343.746797
2030,1,28,4,6252.602002
2030,1,28,5,6340.886493
2030,1,28,6,6840.517715
2030,1,28,7,7841.812364
2030,1,28,8,8434.81008
2030,1,28,9,8662.980928
2030,1,28,10,8922.474874
2030,1,28,11,9301.051197
2030,1,28,12,9472.357636
2030,1,28,13,9479.248031
2030,1,28,14,9460.001776
2030,1,28,15,9423.316168
2030,1,28,16,9494.814833
2030,1,28,17,9594.918037
2030,1,28,18,9687.602653
2030,1,28,19,10260.7543
2030,1,28,20,11003.65782
