Ano,Tecnologia,Entidad Federativa,Region,Nodo,Estado,Capacidad Bruta (MW),Inversion
2023,Hidroelectrica,OAX,02-Oriental,36-Temascal,Proyecto Nuevo,196.38,4859.833318
2023,Hidroelectrica,NAY,03-Occidental,22-Tepic,Por Licitar,241.21,12422.02802
2023,Hidroelectrica,VER,02-Oriental,32-Poza Rica,Proyecto Nuevo,54,1334.502
2023,Solar fotovoltaica,SON,04-Noroeste,02-Cananea,Por iniciar obras,30,1791.3
2023,Solar fotovoltaica,SON,04-Noroeste,02-Cananea,Por iniciar obras,9.5900001,572.618906
2023,Solar fotovoltaica,SON,04-Noroeste,02-Cananea,Por iniciar obras,30,1791.3
2023,Solar fotovoltaica,SON,04-Noroeste,02-Cananea,Por iniciar obras,30,1791.3
2023,Solar fotovoltaica,SON,04-Noroeste,01-Hermosillo,Por iniciar obras,0.40999992,24.48109522
2024,Bioenerga,MEX,01-Central,31-Central,En construccion,30,614.16
2024,Eolica,COAH,06-Noreste,12-Ro Escondido,Proyecto Nuevo,37.576425,986.161375
2024,Eolica,COAH,06-Noreste,17-Saltillo,Proyecto Nuevo,37.593056,986.5978415
2024,Eolica,OAX,02-Oriental,36-Temascal,Proyecto Nuevo,105.302314,2763.569838
2024,Eolica,OAX,02-Oriental,36-Temascal,Proyecto Nuevo,90.288012,2369.532228
2024,Eolica,AGS,03-Occidental,24-Aguascalientes,Proyecto Nuevo,153,5262.12288
2024,Eolica,BC,08-Baja California,48-Mexicali,Por iniciar obras,30,1023.6
2024,Eolica,BC,08-Baja California,46-Tijuana,En construccion,72,2456.64
2024,Eolica,SON,04-Noroeste,02-Cananea,Por iniciar obras,103.5,3531.42
2024,Eolica,BC,08-Baja California,46-Tijuana,Proyecto Nuevo,100.1,2663.149566
2024,Eolica,BC,08-Baja California,46-Tijuana,Proyecto Nuevo,100.1,2663.149566
2024,Eolica,BC,08-Baja California,46-Tijuana,Proyecto Nuevo,100.1,2663.149566
2024,Eolica,BC,08-Baja California,46-Tijuana,En construccion,300.8,10263.296
2024,Geotermica,JAL,03-Occidental,23-Guadalajara,Proyecto Nuevo,14.69999988,389.999017
2024,Geotermica,NAY,03-Occidental,22-Tepic,Proyecto Nuevo,1.3000007,34.48972784
2024,Geotermica,HGO,03-Occidental,30-Queretaro,Por iniciar obras,25,511.8
2024,Hidroelectrica,GRO,02-Oriental,35-Acapulco,Proyecto Nuevo,230.52,4462.328939
2024,Hidroelectrica,VER,02-Oriental,33-Veracruz,Proyecto Nuevo,173.72,4299.064283
2024,Hidroelectrica,VER,02-Oriental,33-Veracruz,En construccion,165,4222.35
2024,Hidroelectrica,VER,02-Oriental,33-Veracruz,En construccion,165,4222.35
2024,Hidroelectrica,GRO,02-Oriental,35-Acapulco,Proyecto Nuevo,231,4465.461
