central/proyect,type,technology,fuel,fuel_code,load_area,balancing_area,intalation_year
ciudad_del_carmen_u3,operational,turbogas,diesel,d_penins,07-peninsular,41-lerma,
holbox,operational,internal_combustion,fuel_oil,c_n_meri,07-peninsular,43-cancun,
lerma_u2,operational,termoelectric,fuel_oil,c_n_lerm,07-peninsular,41-lerma,
lerma_u3,operational,termoelectric,fuel_oil,c_n_lerm,07-peninsular,41-lerma,
lerma_u4,operational,termoelectric,fuel_oil,c_n_lerm,07-peninsular,41-lerma,
merida_ii_tg,operational,turbogas,diesel,d_penins,07-peninsular,42-merida,
merida_ii_u1_tc,operational,termoelectric,fuel_oil,c_n_meri,07-peninsular,42-merida,
merida_ii_u2_tc,operational,termoelectric,fuel_oil,c_n_meri,07-peninsular,42-merida,
merida_iii,operational,combined_cycle,natural_gas,g_penin,07-peninsular,42-merida,
nachi_-_cocom_tg,operational,turbogas,diesel,d_penins,07-peninsular,42-merida,
nizuc_u1,operational,turbogas,diesel,d_penins,07-peninsular,43-cancun,
nizuc_u2,operational,turbogas,diesel,d_penins,07-peninsular,43-cancun,
transalta_campeche,operational,combined_cycle,natural_gas,g_penin,07-peninsular,41-lerma,
valladolid,operational,combined_cycle,natural_gas,g_penin,07-peninsular,42-merida,
valladolid_u1_tc,operational,termoelectric,fuel_oil,c_n_vall,07-peninsular,42-merida,
valladolid_u2_tc,operational,termoelectric,fuel_oil,c_n_vall,07-peninsular,42-merida,
valladolid_iii,operational,combined_cycle,natural_gas,g_penin,07-peninsular,42-merida,
xul_-_ha_cfe_18000,operational,turbogas,diesel,d_penins,07-peninsular,44-chetumal,
xul_-_ha_u1_tg,operational,turbogas,diesel,d_penins,07-peninsular,44-chetumal,
xul_-_ha_u2_tg,operational,turbogas,diesel,d_penins,07-peninsular,44-chetumal,
yuumiliik,operational,eolic,,,07-peninsular,43-cancun,
agnico_eagle_mexico,operational,internal_combustion,diesel,d_naciona,05-norte,09-chihuahua,
agribrands_purina_mexico,operational,internal_combustion,natural_gas,g_sauzqro,03-occidental,26-salamanca,
agroenergia,operational,termoelectric,natural_gas,g_petsal,03-occidental,30-queretaro,
alimentos_kowi,operational,internal_combustion,diesel,d_naciona,04-noroeste,03-obregon,
almidones_mexicanos,operational,turbogas,natural_gas,g_petsal,03-occidental,23-guadalajara,
altos_hornos_de_mexico,operational,combined_cycle,natural_gas,g_ahnrr,06-noreste,12-rio_escondido,
atlatec,operational,bioenergy,natural_gas,g_sauzqro,03-occidental,30-queretaro,
autoabastecimiento_renovable,operational,solar,,,03-occidental,24-aguascalientes,
avomex_internacional,operational,internal_combustion,diesel,d_naciona,06-noreste,12-rio_escondido,
bii_nee_stipa_energia_eolica,operational,eolic,,,02-oriental,40-ixtepec,
bio_pappel_printing,operational,turbogas,natural_gas,gn_tuxp,02-oriental,36-temascal,
