GENERATION_PROJECT	timepoint	gen_max_capacity_factor
cs_pp_43	1	0.06948765625
cs_pp_43	2	0.612968476562
cs_pp_43	3	0.0
cs_pp_43	4	0.0
cs_pp_43	5	0.137112490234
cs_pp_43	6	0.7146553125
cs_pp_43	7	0.0
cs_pp_43	8	0.0
cs_pp_44	1	0.15344734375
cs_pp_44	2	0.597495390625
cs_pp_44	3	0.0
cs_pp_44	4	0.0
cs_pp_44	5	0.287023515625
cs_pp_44	6	0.634163359375
cs_pp_44	7	0.0
cs_pp_44	8	0.0
cs_pp_45	1	0.15344734375
cs_pp_45	2	0.597495390625
cs_pp_45	3	0.0
cs_pp_45	4	0.0
cs_pp_45	5	0.287023515625
cs_pp_45	6	0.634163359375
cs_pp_45	7	0.0
cs_pp_45	8	0.0
cs_pp_46	1	0.0705339355469
cs_pp_46	2	0.424183359375
cs_pp_46	3	0.0
cs_pp_46	4	0.0
cs_pp_46	5	0.12694796875
cs_pp_46	6	0.6983728125
cs_pp_46	7	0.0
cs_pp_46	8	0.0
cs_pp_47	1	0.207622324219
cs_pp_47	2	0.456697304688
cs_pp_47	3	0.0
cs_pp_47	4	0.0
cs_pp_47	5	0.242955332031
cs_pp_47	6	0.651332578125
cs_pp_47	7	0.0
cs_pp_47	8	0.0
cs_pp_48	1	0.207622324219
cs_pp_48	2	0.456697304688
cs_pp_48	3	0.0
cs_pp_48	4	0.0
cs_pp_48	5	0.242955332031
cs_pp_48	6	0.651332578125
cs_pp_48	7	0.0
cs_pp_48	8	0.0
cs_pp_49	1	0.15344734375
cs_pp_49	2	0.597495390625
cs_pp_49	3	0.0
cs_pp_49	4	0.0
cs_pp_49	5	0.287023515625
cs_pp_49	6	0.634163359375
cs_pp_49	7	0.0
cs_pp_49	8	0.0
cs_pp_50	1	0.141802871094
cs_pp_50	2	0.625492226563
cs_pp_50	3	0.0
cs_pp_50	4	0.0
cs_pp_50	5	0.208148632813
cs_pp_50	6	0.710370703125
cs_pp_50	7	0.0
cs_pp_50	8	0.0
cs_pp_51	1	0.0176263928223
cs_pp_51	2	0.429545976562
cs_pp_51	3	0.0
cs_pp_51	4	0.0
cs_pp_51	5	0.10826447265599999
cs_pp_51	6	0.710685390625
cs_pp_51	7	0.0
cs_pp_51	8	0.0
cs_pp_52	1	0.202094433594
cs_pp_52	2	0.550413867187
cs_pp_52	3	0.0
cs_pp_52	4	0.0
cs_pp_52	5	0.27163328125
cs_pp_52	6	0.6244021875
cs_pp_52	7	0.0
cs_pp_52	8	0.0
cs_pp_53	1	0.242387890625
cs_pp_53	2	0.4783671875
cs_pp_53	3	0.0
cs_pp_53	4	0.0
cs_pp_53	5	0.289871621094
cs_pp_53	6	0.637623398438
cs_pp_53	7	0.0
cs_pp_53	8	0.0
cs_pp_54	1	0.141802871094
cs_pp_54	2	0.625492226563
cs_pp_54	3	0.0
