name_switch,name_prodesen,load_zone,load_area,capacity_factor
colina,colina,05-norte,09-chihuahua,65.560370370370364
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,23.498750000000001
colina,colina,05-norte,09-chihuahua,69.222962962962967
colina,colina,05-norte,09-chihuahua,68.004120370370373
colina,colina,05-norte,09-chihuahua,65.914907407407412
colina,colina,05-norte,09-chihuahua,62.744166666666658
colina,colina,05-norte,09-chihuahua,50.208935185185176
colina,colina,05-norte,09-chihuahua,36.587314814814818
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,0.0
colina,colina,05-norte,09-chihuahua,0.0
colotipa,colotlipa,02-oriental,35-acapulco,39.357656250000005
colotipa,colotlipa,02-oriental,35-acapulco,35.399305555555557
colotipa,colotlipa,02-oriental,35-acapulco,39.652777777777779
colotipa,colotlipa,02-oriental,35-acapulco,38.819444444444443
colotipa,colotlipa,02-oriental,35-acapulco,39.809027777777779
colotipa,colotlipa,02-oriental,35-acapulco,43.072934027777784
colotipa,colotlipa,02-oriental,35-acapulco,50.538194444444443
colotipa,colotlipa,02-oriental,35-acapulco,54.704861111111114
colotipa,colotlipa,02-oriental,35-acapulco,27.517361111111111
colotipa,colotlipa,02-oriental,35-acapulco,0.0
colotipa,colotlipa,02-oriental,35-acapulco,0.0
colotipa,colotlipa,02-oriental,35-acapulco,0.0
colotipa,colotlipa,02-oriental,35-acapulco,44.131944444444443
colotipa,colotlipa,02-oriental,35-acapulco,41.5625
colotipa,colotlipa,02-oriental,35-acapulco,42.96875
colotipa,colotlipa,02-oriental,35-acapulco,41.909739583333341
colotipa,colotlipa,02-oriental,35-acapulco,30.277760416666666
colotipa,colotlipa,02-oriental,35-acapulco,37.222239583333341
colotipa,colotlipa,02-oriental,35-acapulco,50.711805555555557
colotipa,colotlipa,02-oriental,35-acapulco,59.739583333333336
colotipa,colotlipa,02-oriental,35-acapulco,54.079878472222219
colotipa,colotlipa,02-oriental,35-acapulco,50.888906249999991
colotipa,colotlipa,02-oriental,35-acapulco,41.50694444444445
colotipa,colotlipa,02-oriental,35-acapulco,41.163177083333331
colotipa,colotlipa,02-oriental,35-acapulco,45.190954861111109
colotipa,colotlipa,02-oriental,35-acapulco,41.440989583333341
colotipa,colotlipa,02-oriental,35-acapulco,42.170121527777773
colotipa,colotlipa,02-oriental,35-acapulco,38.489583333333336
colotipa,colotlipa,02-oriental,35-acapulco,41.892361111111107
colotipa,colotlipa,02-oriental,35-acapulco,23.385416666666668
colotipa,colotlipa,02-oriental,35-acapulco,55.312517361111105
colotipa,colotlipa,02-oriental,35-acapulco,51.770833333333336
colotipa,colotlipa,02-oriental,35-acapulco,80.295121527777781
colotipa,colotlipa,02-oriental,35-acapulco,77.326388888888886
colotipa,colotlipa,02-oriental,35-acapulco,54.427083333333336
colotipa,colotlipa,02-oriental,35-acapulco,50.468749999999993
comedero,comedero,04-noroeste,05-culiacan,23.924883333333334
comedero,comedero,04-noroeste,05-culiacan,23.254122222222222
comedero,comedero,04-noroeste,05-culiacan,5.1743861111111107
comedero,comedero,04-noroeste,05-culiacan,0.27185833333333331
