load_area	fuel	year	fuel_cost
19-huasteca	fuel_oil	2030	68.31431849
20-tamazunchale	natural_gas	2016	3.822780214
20-tamazunchale	natural_gas	2017	4.319228665
20-tamazunchale	natural_gas	2018	4.211441901
20-tamazunchale	natural_gas	2019	4.436384374
20-tamazunchale	natural_gas	2020	4.554677227
20-tamazunchale	natural_gas	2021	4.659038012
20-tamazunchale	natural_gas	2022	4.763398314
20-tamazunchale	natural_gas	2023	4.815578465
20-tamazunchale	natural_gas	2024	4.867759099
20-tamazunchale	natural_gas	2025	4.91993925
20-tamazunchale	natural_gas	2026	4.972119884
20-tamazunchale	natural_gas	2027	5.024300518
20-tamazunchale	natural_gas	2028	5.076480186
20-tamazunchale	natural_gas	2029	5.12866082
20-tamazunchale	natural_gas	2030	5.180840971
21-guemez	natural_gas	2016	3.776280214
21-guemez	natural_gas	2017	4.272728665
