PROJECT	build_year	gen_overnight_cost	gen_fixed_om	g_variable_o_m
servicios_comerciales_de_energia	2015.0	2353000.0	19000.0	.
silices_de_veracruz	2015.0	3150526.0	28000.0	.
sky_eps_supply_sm	2015.0	1009728.5	17427.4	.
sky_eps_supply	2015.0	1009728.5	17427.4	.
sociedad_autoabastecedora_de_energia_verde_de	2015.0	2359223.0	35558.7	.
sony_nuevo_laredo	2015.0	3182481.0	44702.0	.
stipa_nayaa	2015.0	2016000.0	24963.0	.
styrolution_mexicana	2015.0	622320.0	7634.45	.
tablex_miller	2015.0	3150526.0	28000.0	.
tai_durango_uno	2015.0	2353000.0	19000.0	.
tala_electric	2015.0	2341500.0	44300.0	.
termoelectrica_del_golfo	2015.0	1899339.0	36463.6	.
termoelectrica_penoles	2015.0	1899339.0	36463.6	.
tlalnepantla_cogcoracion	2015.0	622320.0	7634.45	.
tmq_gcoracion_energia_renovable	2015.0	2359223.0	35558.7	.
tractebel_energia_de_monterrey	2015.0	910280.0	16024.8	.
tractebel_energia_de_panuco	2015.0	622320.0	7634.45	.
transformadora_de_energia_electrica_de_juarez	2015.0	2359223.0	35558.7	.
urrea_herramientas_profesionales	2015.0	622320.0	7634.45	.
ventika_ii	2015.0	2016000.0	24963.0	.
ventika	2015.0	2016000.0	24963.0	.
zacapu_power	2015.0	1728420.0	32104.6	.
micos	2015.0	1910425.0	24967.8	.
itzicuaro	2015.0	1910425.0	24967.8	.
energia_ep	2015.0	1910425.0	24967.8	.
