GENERATIONS_PROJECT	gen_tech	gen_load_zone	gen_connect_cost_per_mw	gen_full_load_heat_rate	proj_variable_o_m	gen_capacity_limit_mw	gen_energy_source	gen_variable_om	gen_min_build_capacity	gen_scheduled_outage_rate	gen_forced_outage_rate	gen_max_age	gen_unit_size	proj_ccs_capture_efficiency	proj_ccs_energy_load	gen_storage_efficiency	proj_store_to_release_ratio	gen_is_variable	gen_is_baseload	gen_is_cogen
cci_cfe_03	internal_combustion_fuel_oil	53-mulege	99048.565	9.253568815	6.63	.	fuel_oil	6.63	0	0.1123	0.1123	20	.	.	.	.	.	0	1	0
cci_cfe_04	internal_combustion_fuel_oil	51-la_paz	99048.565	7.187237915	6.63	.	fuel_oil	6.63	0	0.1123	0.1123	20	.	.	.	.	.	0	1	0
cci_cfe_05	internal_combustion_fuel_oil	53-mulege	99048.565	9.253568815	6.63	.	fuel_oil	6.63	0	0.1123	0.1123	20	.	.	.	.	.	0	1	0
cci_gen_01	internal_combustion_natural_gas	09-chihuahua	99048.565	9.253568815	6.63	.	natural_gas	6.63	0	0.1123	0.1123	30	.	.	.	.	.	0	1	0
cci_gen_02	internal_combustion_natural_gas	30-queretaro	99048.565	9.253568815	6.63	.	natural_gas	6.63	0	0.1123	0.1123	30	.	.	.	.	.	0	1	0
ce_aut_04	wind	21-guemez	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_07	wind	21-guemez	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_13	wind	17-saltillo	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_17	wind	24-aguascalientes	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_25	wind	24-aguascalientes	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_33	wind	17-saltillo	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_34	wind	15-matamoros	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_36	wind	40-ixtepec	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
ce_aut_37	wind	40-ixtepec	99048.565	.	0	.	wind	0	0	0	0	25	.	.	.	.	.	1	0	0
