,month,day,hour,central,oriental,occidental,norte,noreste,peninsular,noroeste,baja_california,baja_california_sur,sin,sen
2915,5,1,13,5883.120000133245,4882.684103119724,7339.191997713248,2867.9402298519476,5473.137380888264,1182.674,2010.7291145585377,1300.4845811992134,248.78599921399797,29639.476826264967,31188.747406678176
2916,5,1,14,5847.971000133245,4982.425103119724,7372.256997713248,2892.3920218519474,5537.413380888263,1190.807,2055.7981145585377,1331.5325811992134,250.70852821399797,29879.06361826497,31461.304727678184
2917,5,1,15,5861.242000133245,5022.912103119724,7301.174997713249,2923.7270648519475,5545.531380888264,1196.542,2105.961114558538,1364.5635811992133,252.11335921399797,29957.090661264967,31573.76760167818
2918,5,1,16,5849.869000133245,5022.034103119723,7277.380997713249,2941.4508178519477,5575.046380888264,1205.055,2170.060114558538,1388.2935811992133,252.29866121399795,30040.896414264964,31681.488656678175
2919,5,1,17,5847.880000133246,5005.992103119724,7265.539997713248,2917.4015398519473,5570.849380888264,1205.984,2213.894114558538,1410.9485811992133,251.30397121399795,30027.541136264965,31689.793688678175
2920,5,1,18,5854.155000133245,4967.279103119724,7131.8399977132485,2901.677218851947,5543.6773808882635,1192.942,2222.508114558538,1406.8535811992133,250.31621421399797,29814.07881526497,31471.24861067818
2921,5,1,19,6036.706000133246,4951.135103119724,6882.1209977132485,2862.021258851947,5440.947380888264,1179.548,2197.3631145585377,1398.9165811992134,247.16961321399796,29549.841855264967,31195.92804967818
2922,5,1,20,6539.881000133245,5267.349103119724,6815.811997713248,2823.6033148519477,5436.133380888264,1268.753,2133.826114558538,1330.7635811992134,248.66672121399796,30285.357911264968,31864.78821367818
2923,5,1,21,7240.112000133246,6169.181103119723,7233.991997713249,2871.4203758519475,5746.843380888264,1356.995,2102.831114558538,1331.3895811992134,276.753619213998,32721.37497226497,34329.51817267818
2924,5,1,22,7356.936000133245,6298.935103119724,7975.242997713248,3063.4645988519474,5948.435380888263,1367.562,2270.323114558538,1392.7795811992135,271.715321213998,34280.89919526497,35945.394097678174
